legura,kolicina,kom,masina,duzina,profil,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,vm_1,vm_2,vm_3,vm_4,vm_5,vm_6,vm_7,vm_8,vm_9,vm_10,vm_11,vm_12,vm_13,vm_14
Y80,9616,2,L42,4200,400 X 1060,2000,8000,500,0,0,0,0,0,0,0,0,0,0,0,"AL ingoti  99,0% - T","AL ingoti  99,7% - T",A - legura (?pon),,,,,,,,,,,
Y80,9850,2,L42,3800,400 X 1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Q90,47667,4,L39,7000,400 X 1600,12000,0,24000,3000,1000,0,0,5000,2000,5000,0,0,0,5,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A31N i A31B,AL otpad  A3B,AL otpad  A5N i A51N,,,,ALBe5%
M40,14026,3,L60,3950,400 X 1100,7000,0,4000,500,0,0,0,1000,1000,1000,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A0 - baliran,AL otpad  A3B,AL otpad  A5N i A51N,,,,
M40,13493,2,L60,3800,400 X 1650,7000,0,3500,500,0,0,0,1000,1000,1000,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3B,AL otpad  A0 - baliran,AL otpad  A5N i A51N,,,,
M40,10071,2,L60,3600,400 X 1300,3000,3000,2500,500,0,0,0,1000,1000,0,0,0,0,0,"AL ingoti  99,0% - T","AL ingoti  99,7% - T","P - legura (odresci,buntovi)",P -legura (?pon),,,,AL otpad  A3N,AL otpad  A5N i A51N,,,,,
Q90R,47667,4,L39,7000,400 X 1600,12000,0,24000,3000,1000,0,0,4000,2000,5000,0,0,5,15,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A4N,AL otpad  A5N i A51N,,,ALBe5%,Bi100%
Q90,45624,4,L39,6700,400 X 1600,9000,0,23000,3000,1000,0,0,4000,4000,5000,0,0,5,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A4N,AL otpad  A5N i A51N,,,ALBe5%,
Q90,48040,5,L39,8600,400 X 1050,15000,0,24000,3000,1000,0,0,3000,4000,1000,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A3N,AL otpad  A5N i A51N,AL otpad  A6SK,,,,
Q90,49412,4,L39,8600,400 X 1350,12000,0,24000,3000,1000,0,0,7000,5000,0,0,0,0,0,"AL ingoti  99,7% - T",,"P - legura (odresci,buntovi)",P -legura (?pon),Metal sa livenja ; isce?eni metal iz ?ljake,,,AL otpad  A31N i A31B,AL otpad  A5N i A51N,,,,,
